TCONS_00000986 UROD
TCONS_00000987 UROD
TCONS_00000988 UROD
TCONS_00000989 UROD
TCONS_00000991 UROD
TCONS_00000992 UROD
TCONS_00000993 LINC01144
TCONS_00000994 HPDL
TCONS_00000995 TOE1
TCONS_00000996 TOE1
TCONS_00000997 RP11-291L19.1
TCONS_00000998 MMACHC
TCONS_00000999 AKR1A1
TCONS_00001002 AKR1A1
TCONS_00001004 AKR1A1
TCONS_00001007 AKR1A1
TCONS_00001008 AKR1A1
TCONS_00001009 AKR1A1
TCONS_00001010 NASP
TCONS_00001012 NASP
TCONS_00001013 NASP
TCONS_00001014 NASP
TCONS_00001015 NASP
TCONS_00001017 NASP
TCONS_00001018 NASP
TCONS_00001019 NASP
TCONS_00001020 TMEM69
TCONS_00001021 TMEM69
TCONS_00001023 MAST2
TCONS_00001024 MAST2
TCONS_00001025 MAST2
TCONS_00001026 LURAP1
TCONS_00001027 UQCRH
TCONS_00001028 UQCRH
TCONS_00001029 UQCRH
TCONS_00001030 UQCRH
TCONS_00001031 NSUN4
TCONS_00001032 NSUN4
TCONS_00001035 RP4-603I14.3
TCONS_00001036 FAAH
TCONS_00001037 FAAH
TCONS_00001038 FAAH
TCONS_00001039 FAAH
TCONS_00001040 CYP4B1
TCONS_00001041 CMPK1
TCONS_00001042 CMPK1
TCONS_00001043 RP11-329A14.1
TCONS_00001044 PHBP12
TCONS_00001045 MRPS6P2
TCONS_00001047 CDKN2C
TCONS_00001048 RNF11
TCONS_00001049 RP11-275F13.3
TCONS_00001051 OSBPL9
TCONS_00001052 OSBPL9
TCONS_00001053 OSBPL9
TCONS_00001054 SLC25A6P3
TCONS_00001055 OSBPL9
TCONS_00001056 OSBPL9
TCONS_00001059 OSBPL9
TCONS_00001060 OSBPL9
TCONS_00001061 OSBPL9
TCONS_00001062 OSBPL9
TCONS_00001064 RP4-657D16.3
TCONS_00001065 RP4-657D16.6
TCONS_00001066 TSEN15P2
TCONS_00001067 RNA5SP48
TCONS_00001068 RP11-91A18.1
TCONS_00001069 BTF3L4
TCONS_00001070 BTF3L4
TCONS_00001071 BTF3L4
TCONS_00001072 BTF3L4
TCONS_00001073 ZFYVE9
TCONS_00001074 RN7SL788P
TCONS_00001075 PDCL3P6
TCONS_00001077 ANAPC10P1
TCONS_00001078 ZFYVE9
TCONS_00001079 RP11-155O18.6
TCONS_00001080 PLA2G12AP1
TCONS_00001081 PRPF38A
TCONS_00001082 PRPF38A
TCONS_00001084 GPX7
TCONS_00001085 GPX7
TCONS_00001086 ZYG11B
TCONS_00001087 RP4-631H13.6
TCONS_00001088 SCP2
TCONS_00001089 SCP2
TCONS_00001090 SCP2
TCONS_00001093 TUBBP10
TCONS_00001094 SCP2
TCONS_00001096 SCP2
TCONS_00001099 PODN
TCONS_00001100 PODN
TCONS_00001101 CPT2
TCONS_00001102 CPT2
TCONS_00001104 CPT2
TCONS_00001105 CPT2
TCONS_00001106 LINC01771
TCONS_00001107 LRRC42
TCONS_00001108 LRRC42
TCONS_00001109 LRRC42
TCONS_00001111 LRRC42
TCONS_00001112 TCEANC2
TCONS_00001113 MRPL37
TCONS_00001114 MRPL37
TCONS_00001115 MRPL37
TCONS_00001117 SSBP3-AS1
TCONS_00001119 TTC4
TCONS_00001120 TTC4
TCONS_00001121 TTC4
TCONS_00001122 LINC01755
TCONS_00001123 RPL21P23
TCONS_00001124 PRKAA2
TCONS_00001125 FGGY
TCONS_00001129 HOOK1
TCONS_00001130 HOOK1
TCONS_00001131 NFIA
TCONS_00001133 RP4-802A10.1
TCONS_00001134 PATJ
TCONS_00001135 PATJ
TCONS_00001137 PATJ
TCONS_00001139 L1TD1
TCONS_00001141 USP1
TCONS_00001142 USP1
TCONS_00001143 RP11-293K19.1
TCONS_00001144 RP5-849H19.3
TCONS_00001145 ATG4C
TCONS_00001146 ATG4C
TCONS_00001148 ALG6
TCONS_00001149 ALG6
TCONS_00001151 EFCAB7
TCONS_00001152 DLEU2L
TCONS_00001153 PGM1
TCONS_00001154 PGM1
TCONS_00001155 PGM1
TCONS_00001156 PGM1
TCONS_00001157 RN7SL130P
TCONS_00001158 ROR1
TCONS_00001159 CACHD1
TCONS_00001160 RAVER2
TCONS_00001161 RP11-182I10.1
TCONS_00001162 RP11-182I10.2
TCONS_00001163 AK4
TCONS_00001164 AK4
TCONS_00001165 AK4
TCONS_00001169 DNAJC6
TCONS_00001170 DNAJC6
TCONS_00001171 DNAJC6
TCONS_00001172 DNAJC6
TCONS_00001174 LEPROT
TCONS_00001175 LEPR
TCONS_00001176 LEPR
TCONS_00001177 LEPROT
TCONS_00001178 LEPROT
TCONS_00001179 LEPR
TCONS_00001180 LEPR
TCONS_00001181 PDE4B
TCONS_00001183 PDE4B
TCONS_00001184 PDE4B
TCONS_00001185 PDE4B
TCONS_00001186 SGIP1
TCONS_00001188 TCTEX1D1
TCONS_00001191 MIER1
TCONS_00001192 MIER1
TCONS_00001193 MIER1
TCONS_00001194 MIER1
TCONS_00001195 MIER1
TCONS_00001196 MIER1
