gene_id,logFC,unshrunk.logFC,logCPM,PValue,FDR,BH,BY,bf
NPDC1,0.814639944214579,0.81488301642862,1.41542526913622,0.00177694890262132,0.015901226151632,0.015901226151632,0.162240281643136,1
ZNF337,0.717332297745068,0.71754630787789,1.42590334359426,0.00177805789014858,0.0159017574000891,0.0159017574000891,0.162245701973523,1
ARL4D,0.975955193969186,0.977652822879394,-1.07976666875025,0.00178099068778338,0.0159132111267192,0.0159132111267192,0.162362564397629,1
MAFK,0.732784705487138,0.732927182926815,1.82620983187032,0.00178260139249763,0.0159132111267192,0.0159132111267192,0.162362564397629,1
MED12L,-0.961758884193458,-0.961762015051023,8.99418376545021,0.00178421895378472,0.0159132111267192,0.0159132111267192,0.162362564397629,1
ZNF274,0.614055570851669,0.614147437378666,2.4728374728032,0.00178508829129139,0.0159132111267192,0.0159132111267192,0.162362564397629,1
TERF2IP,-0.660341543008261,-0.660355691844822,5.78745443802033,0.00178544865601673,0.0159132111267192,0.0159132111267192,0.162362564397629,1
TSPAN15,-0.891684259649034,-0.891733906118681,4.82835485813678,0.00178564085250314,0.0159132111267192,0.0159132111267192,0.162362564397629,1
DPYSL3,0.900074192465567,0.900181578345113,2.68257465402446,0.00179509716456282,0.0159880788025437,0.0159880788025437,0.163126439629382,1
ZNF131,-0.754324524036115,-0.75434183729838,5.93122955556955,0.00179858671741349,0.01600390140521,0.01600390140521,0.163287877715252,1
MOB1A,-0.794540682783194,-0.794542962433747,8.91531411728768,0.00179915585612751,0.01600390140521,0.01600390140521,0.163287877715252,1
HSD17B12,-0.950904764364571,-0.950944100137849,4.9901238308854,0.00180007950720115,0.01600390140521,0.01600390140521,0.163287877715252,1
TRIB1,0.806109835190059,0.806281956082958,1.74457888289865,0.00180153822112391,0.01600390140521,0.01600390140521,0.163287877715252,1
NOL10,-0.741103329848382,-0.741134284848963,4.98561688003824,0.00180424850712378,0.01600390140521,0.01600390140521,0.163287877715252,1
CASP8,0.709503607263504,0.709569174930494,3.19679731431972,0.00180449031815913,0.01600390140521,0.01600390140521,0.163287877715252,1
